transaction_id,amount,currency,transaction_datetime,sender_name,sender_address,receiver_name,receiver_address,memo,sender_entity_id,receiver_entity_id,memo_entity_ids
dfdec7f0-29ae-4b84-a6d3-16dec834e148,676540.93,USD,2025-10-07T11:21:13,REBECCA INGRAM,"9324 TAYLOR VISTA, SOUTH KARISHIRE, BC X9R 5L5","BROOKS, WOOD AND WALKER","7926 HUBBARD COURT, WEST STEVEN, NT H2M 3K1","Wire to account at 9324 TAYLOR VISTA, SOUTH KARISHIRE, BC X9R 5L5 - UOWYX0FE",GEN-07f07ab62bf6,GEN-884bf355f764,GEN-07f07ab62bf6
badacdda-718e-4102-b997-29d9ffb96062,185585.67,USD,2025-04-27T19:21:51,LISA PRICE,"246 VANESSA VILLAGE SUITE 190, KIMFURT, NL B1G 5R2",DUSTIN PEREZ,"10761 BYRD WAY SUITE 458, EAST MASONBOROUGH, NS B8L 7C3",Consulting services 560XF2ER,GEN-10f0201659c7,GEN-4c407a9479df,
5c755b6e-06bc-4ad2-8a67-f70492e7ddc9,478452.72,CAD,2025-09-16T02:12:59,DENIS LABONTE,"18066 RUE FREDERIQUE SUITE 929, ROLAND -SUR-MER, NT A3Y9J5","MORENO, JIMENEZ AND ORTIZ","0827 KYLE CANYON APT. 081, NORTH JASONPORT, NB X3C7Y2",Import/export settlement BGUUAUOG,GEN-ace28049d1d2,GEN-ab367c6cf5b0,
f3a86841-6105-4f57-b402-056ff7584b70,885584.57,CAD,2025-03-18T11:47:17,JEFFREY STEIN,"7362 POWELL FIELD APT. 231, ELIZABETHMOUTH, NB A7X9A8",MALONE-FOSTER,"29306 OSCAR KEYS, TRAVISCHESTER, NL R5B 3V8",Payment for invoice JYQOFXSP,GEN-8154e835405a,GEN-b6c1d36a4133,
5add6aa3-3292-4bad-9dd1-98759e6b9eec,392192.76,CAD,2025-09-23T08:29:32,NICHOLAS TURNER,"8231 JAY SHORES, MCLAUGHLINSTAD, NS K7H 9K4",ANDREW WALLACE,"15971 GRANT OVERPASS APT. 630, SOUTH STEPHANIELAND, NB H7E 3M5",Wire transfer - GPEVSUB8,GEN-273d865a48f2,GEN-97c4625cfe0b,
a79bd1aa-f78d-4ba6-a3d3-d2bc6966425c,51172.79,CAD,2025-01-30T10:03:08,MIKHAIL VALENTINOVICH ROMANOV,"75088 ROUTE VACHON, MARTEL OUEST, NB X3B9S6",ROGERS LLC,"8155 WILLIS LOAF APT. 094, NEW LAURAPORT, NB H4L 2L9",Wire transfer - 1EZHVLSV,Q28665491,GEN-4a5ac8319569,
00327052-918c-4ac9-aee8-609434c4ee0a,702612.85,CAD,2025-02-06T09:45:10,SADRACH ZELEDON ROCHA,"229 JASMINE DRIVE APT. 104, NEW TARACHESTER, QC N4A 2B3",ALICE ARCHAMBAULT,"59084 ALLE LACASSE, LAC- ANTOINE -SUR-MER, BC H3K 1B4",Consulting services GSRBFG1V,NK-4DJdTj22tPZs7c2cypmwGC,GEN-5bed92ac00f1,
13d1094a-3064-4b30-bd76-cb723ad758c4,404003.6,CAD,2025-12-05T15:25:13,DIAZ PLC,"61171 HALL RIDGE SUITE 867, ISAACSTAD, NS X8L 8P9",JONATHAN FOSTER,"328 JAMES VIEW SUITE 796, SINGLETONBURY, NT H8S 7C6",Loan repayment EMO454Y7,GEN-1e49ea618290,GEN-bda6ca74bf34,
1bbe23a2-da43-42e8-a31a-2d5ec5d27241,975856.18,USD,2025-04-13T15:17:03,DONALD CARTER,"219 DUNCAN RIDGE SUITE 568, PORT BRIANHAVEN, NM 39030",PHILIP PRINCE,"93954 RIVERA FALL SUITE 897, AMYFURT, NB J7V4T3",Investment proceeds I9HYVMH6,GEN-2a6b0a2adc43,GEN-93f0dd083af6,
9e3aafb6-6fad-4a46-9431-e0664ae07ec5,925600.35,USD,2025-02-08T03:50:09,SCOTT PATTERSON,"1394 WOOD BURGS, AMBERBERG, QC K4E4B8",SIMONE SOUCY,"47916 MONTEE EMMA, BAIE CLAIRE, ON T3A5A1",Payment for invoice JNE3TNAD,GEN-befad92ea6fa,GEN-995ce1740c93,
